"Species","Group","Stat","P_value","IndVal_diff","Count_Group_1","Count_Group_2","Count_Group_3","Count_Group_4","Count_Group_5","Count_Group_6","Perc_Group_1","Perc_Group_2","Perc_Group_3","Perc_Group_4","Perc_Group_5","Perc_Group_6","Total_Occurrences","Max_Percentage"
"Spiranthes aestivalis","1",0.224191391682892,0.068,0.224191391682892,48,0,0,0,0,0,100,0,0,0,0,0,48,100
"Spiranthes magnicamporum","1",0.224191391682892,0.056,0.224191391682892,48,0,0,0,0,0,100,0,0,0,0,0,48,100
"Tipularia discolor","1",0.224191391682892,0.061,0.224191391682892,48,0,0,0,0,0,100,0,0,0,0,0,48,100
"Cypripedium montanum","1",0.221843773150981,0.111,0.221843773150981,47,0,0,0,0,0,100,0,0,0,0,0,47,100
"Orchis italica","1",0.221843773150981,0.099,0.221843773150981,47,0,0,0,0,0,100,0,0,0,0,0,47,100
"Himantoglossum robertianum","1",0.219471044256448,0.134,0.219471044256448,46,0,0,0,0,0,100,0,0,0,0,0,46,100
"Ophrys speculum","1",0.219471044256448,0.126,0.219471044256448,46,0,0,0,0,0,100,0,0,0,0,0,46,100
"Serapias vomeracea","1",0.219471044256448,0.148,0.219471044256448,46,0,0,0,0,0,100,0,0,0,0,0,46,100
"Spiranthes lucida","1",0.219471044256448,0.133,0.219471044256448,46,0,0,0,0,0,100,0,0,0,0,0,46,100
"Isotria verticillata","1",0.217072381587726,0.158,0.217072381587726,45,0,0,0,0,0,100,0,0,0,0,0,45,100
"Orchis provincialis","1",0.217072381587726,0.164,0.217072381587726,45,0,0,0,0,0,100,0,0,0,0,0,45,100
"Corallorhiza odontorhiza","1",0.215600656028669,0.076,0.0912281845654379,70,0,0,0,20,0,77.8,0,0,0,22.2,0,90,77.8
"Epipactis purpurata","1",0.21464691572282,0.187,0.21464691572282,44,0,0,0,0,0,100,0,0,0,0,0,44,100
"Platanthera grandiflora","1",0.209711844185356,0.189,0.209711844185356,42,0,0,0,0,0,100,0,0,0,0,0,42,100
"Spiranthes ovalis","1",0.207380881079421,0.185,0.197643492740228,43,0,0,0,1,0,97.7,0,0,0,2.3,0,44,97.7
"Serapias parviflora","1",0.207200234490154,0.163,0.207200234490154,41,0,0,0,0,0,100,0,0,0,0,0,41,100
"Oreorchis patens","1",0.203192487004854,0.181,0.128104494985647,54,7,0,0,0,0,88.5,11.5,0,0,0,0,61,88.5
"Dactylorhiza elata","1",0.202083389557575,0.152,0.202083389557575,39,0,0,0,0,0,100,0,0,0,0,0,39,100
"Neottia auriculata","1",0.202083389557575,0.174,0.202083389557575,39,0,0,0,0,0,100,0,0,0,0,0,39,100
"Ophrys bombyliflora","1",0.202083389557575,0.163,0.202083389557575,39,0,0,0,0,0,100,0,0,0,0,0,39,100
"Serapias cordigera","1",0.202083389557575,0.167,0.202083389557575,39,0,0,0,0,0,100,0,0,0,0,0,39,100
"Gymnadenia odoratissima","1",0.199475752702504,0.158,0.199475752702504,38,0,0,0,0,0,100,0,0,0,0,0,38,100
"Liparis kumokiri","1",0.199475752702504,0.172,0.199475752702504,38,0,0,0,0,0,100,0,0,0,0,0,38,100
"Platanthera chorisiana","1",0.199475752702504,0.144,0.199475752702504,38,0,0,0,0,0,100,0,0,0,0,0,38,100
"Spiranthes incurva","1",0.199475752702504,0.155,0.199475752702504,38,0,0,0,0,0,100,0,0,0,0,0,38,100
"Gastrodia elata","1",0.197511582477765,0.238,0.129944933665968,50,6,0,0,0,0,89.3,10.7,0,0,0,0,56,89.3
