"","tax_sp_level","phylum","order","species","family","genus","specificEpithet","a_habit","nbe_records"
"208","Acalypha crenata","Magnoliophyta","Malpighiales","Acalypha crenata","Euphorbiaceae","Acalypha","crenata","herb","28"
"209","Acalypha cupricola","Magnoliophyta","Malpighiales","Acalypha cupricola","Euphorbiaceae","Acalypha","cupricola","shrub","56"
"210","Acalypha deltoidea","Magnoliophyta","Malpighiales","Acalypha deltoidea","Euphorbiaceae","Acalypha","deltoidea","shrub","1"
"211","Acalypha depressinerva","Magnoliophyta","Malpighiales","Acalypha depressinerva","Euphorbiaceae","Acalypha","depressinerva","","1"
"212","Acalypha dikuluwensis","Magnoliophyta","Malpighiales","Acalypha dikuluwensis","Euphorbiaceae","Acalypha","dikuluwensis","shrub","1"
"213","Acalypha dumetorum","Magnoliophyta","Malpighiales","Acalypha dumetorum","Euphorbiaceae","Acalypha","dumetorum","shrub","12"
"214","Acalypha echinus","Magnoliophyta","Malpighiales","Acalypha echinus","Euphorbiaceae","Acalypha","echinus","shrub","19"
"215","Acalypha engleri","Magnoliophyta","Malpighiales","Acalypha engleri","Euphorbiaceae","Acalypha","engleri","shrub","50"
"216","Acalypha fimbriata","Magnoliophyta","Malpighiales","Acalypha fimbriata","Euphorbiaceae","Acalypha","fimbriata","herb","23"
"217","Acalypha fruticosa","Magnoliophyta","Malpighiales","Acalypha fruticosa var. eglandulosa","Euphorbiaceae","Acalypha","fruticosa","shrub","99"
"218","Acalypha fruticosa","Magnoliophyta","Malpighiales","Acalypha fruticosa","Euphorbiaceae","Acalypha","fruticosa","shrub","99"
