"idrb","decimalLatitude","decimalLongitude","tax_sp_level","family","genus","specificEpithet","species","country","countryCode","verif_iso3","verif_coast","verif_distance","locality"
148775,-1.53333,28.7667,"Senna sophera","Fabaceae","Senna","sophera","Senna sophera","Congo - Kinshasa","COD","OK","OK",NA,"Karambi I, Terr. Walikale"
149163,-2.56667,26.6167,"Bolbidium pumilum","Orchidaceae","Bolbidium","pumilum","Bolbidium pumilum","Congo - Kinshasa","COD","OK","OK",NA,"Kalima; environ 90 km au N-E de Kindu"
149176,-4.98333,12.9833,"Pachira glabra","Malvaceae","Pachira","glabra","Pachira glabra","Congo - Kinshasa","COD","OK","OK",NA,"Mission catholique de Kizu ."
149210,-11.6667,27.4667,"Vitex doniana","Lamiaceae","Vitex","doniana","Vitex doniana","Congo - Kinshasa","COD","OK","OK",NA,"Elisabethville"
149253,-0.333333,19.1,"Richardia brasiliensis","Rubiaceae","Richardia","brasiliensis","Richardia brasiliensis","Congo - Kinshasa","COD","OK","OK",NA,"Flandria"
149550,-3.48333,18.3167,"Scleria distans","Cyperaceae","Scleria","distans","Scleria distans","Congo - Kinshasa","COD","OK","OK",NA,"Makaw"
149597,-5.63333,13.0667,"Leucaena leucocephala","Fabaceae","Leucaena","leucocephala","Leucaena leucocephala","Congo - Kinshasa","COD","OK","OK",NA,"Proche du Bureau INERA Luki"
149609,0.8,11.55,"Ipomoea mauritiana","Convolvulaceae","Ipomoea","mauritiana","Ipomoea mauritiana","Gabon","GAB","OK","OK",NA,"Mitzic"
149667,1.415,17.435,"Scleria distans","Cyperaceae","Scleria","distans","Scleria distans","Congo - Brazzaville","COG","OK","OK",NA,"Close to the edge of Nsassa Forest, 2 km W of Epena. Lac Télé Community Reserve"
150159,-0.8,29.3,"Oryza eichingeri","Poaceae","Oryza","eichingeri","Oryza eichingeri","Congo - Kinshasa","COD","OK","OK",NA,"Ruindi"
150220,-0.75,18.1167,"Vanilla planifolia","Orchidaceae","Vanilla","planifolia","Vanilla planifolia","Congo - Kinshasa","COD","OK","OK",NA,"Zaire. Bikoro (Lac Leopold II)."
150352,NA,NA,"Bolbidium pumilum","Orchidaceae","Bolbidium","pumilum","Bolbidium pumilum","Congo - Kinshasa","COD","NO COORDINATES","NO COORDINATES",NA,"entre Masisi et Walikale (Kivu)"
150456,NA,NA,"Senna alata","Fabaceae","Senna","alata","Senna alata","Malawi","MWI","NO COORDINATES","NO COORDINATES",NA,"District Mangochi, Mpinganjira Village, introduced tree by side of two houses"
150457,0.566667,25.0833,"Solanum torvum","Solanaceae","Solanum","torvum","Solanum torvum","Congo - Kinshasa","COD","OK","OK",NA,"Kisangani, Ile Kongolo à la confluence de la Lindi et du fleuve Zaire"
150458,0.516667,25.1833,"Pachira glabra","Malvaceae","Pachira","glabra","Pachira glabra","Congo - Kinshasa","COD","OK","OK",NA,"Kisangani"
150918,0.766667,24.45,"Casearia barteri","Salicaceae","Casearia","barteri","Casearia barteri","Congo - Kinshasa","COD","OK","OK",NA,"Yangambi"
151090,NA,NA,"Cecropia concolor","Urticaceae","Cecropia","concolor","Cecropia concolor","Congo - Kinshasa","COD","NO COORDINATES","NO COORDINATES",NA,"Eala, sentier vers l'Esobe n°1, petit massif à proximité du Ruki"
151150,-19.55,33.1667,"Ixora narcissodora","Rubiaceae","Ixora","narcissodora","Ixora narcissodora","Mozambique","MOZ","OK","OK",NA,"Manica & Sofala Distr, Manica, Mavita"
151344,NA,NA,"Nypa fruticans","Arecaceae","Nypa","fruticans","Nypa fruticans","Cameroon","CMR","NO COORDINATES","NO COORDINATES",NA,"Bonenza, 15 km WNW Victoria (feuilles IGN 1/200000 Bufa-Douala)"
151459,2.05326,22.8652,"Stachytarpheta cayennensis","Verbenaceae","Stachytarpheta","cayennensis","Stachytarpheta cayennensis","Congo - Kinshasa","COD","OK","OK",NA,"Moenge, Itimbiri River"
151464,1.276,23.7384,"Ipomoea mauritiana","Convolvulaceae","Ipomoea","mauritiana","Ipomoea mauritiana","Congo - Kinshasa","COD","OK","OK",NA,"Yaofa, Aruwimi River, upstream from Bomane"
151644,1.23333,23.5167,"Commelina diffusa","Commelinaceae","Commelina","diffusa","Commelina diffusa","Congo - Kinshasa","COD","OK","OK",NA,"Barumbu"
151645,0.766667,24.45,"Commelina diffusa","Commelinaceae","Commelina","diffusa","Commelina diffusa","Congo - Kinshasa","COD","OK","OK",NA,"Yangambi, île Booke, en face de l'Isalowe"
151988,3.08333,10.4167,"Casearia barteri","Salicaceae","Casearia","barteri","Casearia barteri","Cameroon","CMR","OK","OK",NA,"Kamerun, Bipinde"
152366,0,18.2333,"Pachira glabra","Malvaceae","Pachira","glabra","Pachira glabra","Congo - Kinshasa","COD","OK","OK",NA,"Equateur"
152411,0.366667,29.6167,"Pycnospora lutescens","Fabaceae","Pycnospora","lutescens","Pycnospora lutescens","Congo - Kinshasa","COD","OK","OK",NA,"PNA. Secteur Libona vers borne limite 3/85 à l'ouest du plateau de Kaparata"
152528,-5,12.6833,"Caesalpinia pulcherrima","Fabaceae","Caesalpinia","pulcherrima","Caesalpinia pulcherrima","Congo - Kinshasa","COD","OK","OK",NA,"Yema Liango"
152540,-1.31667,29.1,"Alisma plantago-aquatica","Alismataceae","Alisma","plantago-aquatica","Alisma plantago-aquatica","Congo - Kinshasa","COD","OK","OK",NA,"Kamatembe (riv. Bishakishiki)"
152715,NA,NA,"Tecoma stans","Bignoniaceae","Tecoma","stans","Tecoma stans","Congo - Kinshasa","COD","NO COORDINATES","NO COORDINATES",NA,"Leopoldville"
153330,0.05,18.3167,"Graptophyllum pictum","Acanthaceae","Graptophyllum","pictum","Graptophyllum pictum","Congo - Kinshasa","COD","OK","OK",NA,"Eala; district de l'Equateur"
153462,-5.85,13.05,"Ixora coccinea","Rubiaceae","Ixora","coccinea","Ixora coccinea","Congo - Kinshasa","COD","OK","OK",NA,"Boma"
153511,3.46667,25.7167,"Senna alata","Fabaceae","Senna","alata","Senna alata","Congo - Kinshasa","COD","OK","OK",NA,"Bambesa"
153551,-7.26667,26.7833,"Senna spectabilis","Fabaceae","Senna","spectabilis","Senna spectabilis","Congo - Kinshasa","COD","OK","OK",NA,"Kiala, anciens villages"
